Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_31220	0	0	0	12	8	1	0	0	0	1	6	17	0.0637255976103872	0.949386741249079	1
PA14_06260	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_35250	2	0	2	0	0	0	0	0	2	0	0	0	-0.328054197684204	0.848311702520237	1
PA14_45970	11	20	9	8	3	2	12	19	9	3	3	1	0.856434941410249	0.384747307038589	1
PA14_20610	0	0	0	17	7	13	0	0	0	2	6	3	1.59415899427435	0.407570338827564	1
PA14_32930	41	37	10	0	0	0	28	41	71	0	0	0	0.602769338559112	0.92580256617932	1
PA14_67790,PA14_67810,PA14_67820	94	78	87	0	0	0	63	69	31	0	0	0	-0.718994092661749	0.849030880137918	1
PA14_02230	0	1	0	0	0	0	9	13	12	0	0	0	3.47477958297073	0.0440252413781577	0.264430089037162
PA14_49920	0	2	1	7	7	3	4	4	2	4	4	11	1.45519462575083	0.225950402920183	0.89344555154689
PA14_27470	0	0	0	0	0	0	5	8	5	0	0	0	2.53605290024021	0.233722912797762	0.915422612495416
PA14_38500	0	0	0	9	1	7	0	0	0	1	5	0	0.962329582033945	0.773482829078272	1
PA14_58750	21	24	11	1	2	6	22	17	16	0	2	8	-0.0372398508167741	0.961075080145147	1
PA14_49510	13	6	3	81	63	67	6	3	2	44	68	60	-0.523330534903444	0.450388247136001	1
PA14_39050	247	180	280	0	0	0	177	265	112	0	0	0	-0.389441718573451	0.732583370333514	1
PA14_05180,PA14_05190	144	149	195	0	0	0	55	65	225	0	0	0	-0.75412971229122	0.820481903555824	1
PA14_11680	43	30	28	19	13	10	49	32	37	5	10	6	1.22970098511985	0.00648466158869056	0.051569361851961
PA14_30650,PA14_30660,PA14_30670	1093	818	467	0	0	0	676	690	1002	0	0	0	0.0418652225842245	0.970710712034508	1
PA14_44311	8	5	6	124	138	128	2	1	2	71	77	300	-1.83543109143911	0.0121837942987306	0.090096785372691
PA14_03830	0	0	0	17	8	1	0	0	0	13	8	9	-0.59595750797909	0.969651467373684	1
PA14_20900	187	150	81	4	5	7	78	111	89	0	1	3	1.36220695960742	0.102141718758962	0.505734736185678
PA14_07840	0	0	0	0	0	0	4	0	5	0	0	0	1.48186900775705	0.667436491709883	1
PA14_02520	3	0	0	2	7	5	2	3	0	3	3	1	1.02677455223114	0.554736005055915	1
PA14_47510	34	30	21	0	0	0	7	17	21	0	0	0	-0.929772665259875	0.723910892267151	1
PA14_27580	4	9	12	0	0	0	23	17	33	0	0	0	1.55665250785634	0.399226630019035	1
PA14_42230	1	1	1	0	0	0	0	2	1	0	0	0	0.362570079384708	0.843525869092694	1
PA14_07110	393	270	224	0	0	0	268	264	287	0	0	0	-0.0742651087040376	0.949445814823999	1
PA14_14270	0	3	2	0	0	0	1	0	0	0	0	0	-0.899071091149219	0.974035653666772	1
PA14_64240	7	7	0	0	0	0	1	2	3	0	0	0	-0.942969054963621	0.824670489654001	1
PA14_04080,PA14_04090	23	24	27	0	0	0	6	14	11	0	0	0	-1.30102533010843	0.524455479364965	1
PA14_46900	3	3	3	0	0	0	7	8	9	3	1	0	0.692571474807752	0.88534247377829	1
